BB_Title,BB_Artist,SP_Title,SP_Artist,Match_Ratio,SP_id
Skate,Silk Sonic (Bruno Mars & Anderson .Paak),Infrared Skateboard,Star Silk,100,4wi3PCbi1XRT07SuaBNhv7
Hellcats & Trackhawks,Lil Durk,Hellcats & Trackhawks,LilRonnie FYG,100,3641Vdge9brzX9EneSPVZM
On The Ground,ROSE,Feet on the Ground,Pernille Rosendahl,100,4AuFQsunFnXzZ4Hh0Syf1p
Reminds Me Of You,The Kid LAROI & Juice WRLD,He Reminds Me Of You,The High Plains Drifters,100,0lVenYsMaCx2o7RwziTn1h
Don't Stop,Megan Thee Stallion Featuring Young Thug,Don't Stop Now,Megan Anourissa,100,5U3GVNt91eh9jfCNWEnwnz
TKN,Rosalia & Travis Scott,TKN,Sophia Rosalia,100,4hIuCmnCiRvCjjNKovyW1S
POP,Lil Uzi Vert,Zoo York (feat. Fivio Foreign & Pop Smoke),Lil Tjay,100,3Ddny34bFoYBb8dIGq5lwp
Forever,Lil Baby Featuring Lil Wayne,Forever Young,Lil Yachty,100,3KonmuCjavIVmNWBr7oDCQ
Baby,Lil Baby & DaBaby,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,100,27NovPIUIRrOZoCHxABJwK
Happy Xmas (War Is Over),John Legend,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,100,27RYrbL6S02LNVhDWVl38b
Love Me,Lil Tecca,Love Me,Lil Wayne,100,7tGlzXJv6GD5e5qlu5YmDg
I,Lil Skies,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,100,27NovPIUIRrOZoCHxABJwK
Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,100,27RYrbL6S02LNVhDWVl38b
Time,Lil Baby Featuring Meek Mill,Our Time,Lil Tecca,100,2WxUIiq06XXPYWl9YcRJnD
Problems,Lil Wayne,Problems,Lil Peep,100,5e90dsXJMBw9ndBRiKP1ZA
Demon,Lil Wayne,Demon Time (Lil Yachty feat. Draft Day),Lil Yachty,100,0U4bETGvA2xw24gyTloxIJ
Summer,The Carters,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,100,5N1o6d8zGcSZSeMFkOUQOk
Nice,The Carters,Wouldn't It Be Nice - Stereo / Remastered,The Beach Boys,100,2Gy7qnDwt8Z3MNxqat4CsK
Friends,The Carters,ARE WE STILL FRIENDS?,"Tyler, The Creator",100,5TxRUOsGeWeRl3xOML59Ai
Want You Back,5 Seconds Of Summer,I Want You Back,The Jackson 5,100,5LxvwujISqiB8vpRYv887S
Juice,Yo Gotti,Mannequin Challenge (feat. Juice WRLD),Young Thug,100,5TnLXSd4h6G06Fbt2ApOpa
Honest,The Chainsmokers,An Honest Mistake,The Bravery,100,7DoMGZLVzga3vhyZlb0hBX
The One,The Chainsmokers,Dedicated To The One I Love,The Mamas & The Papas,100,1mFrjW8e8fuAOowlU3Q3Dr
Rockin',The Weeknd,Rockin' That Shit,The-Dream,100,3RBGG1be9aBaSvjnw6ABkh
Attention,The Weeknd,ATTENTION,The Kid LAROI,100,5JrljwNvTFN6y7b5a5Nzq7
Ordinary Life,The Weeknd,My Ordinary Life,The Living Tombstone,100,6tMdpUXfT70TD6Eh3XfB1p
Fix,Chris Lane,Fix a Drink,Chris Janson,100,0s6OWiWGuiCcm1Muzch5A8
I'm Sorry,Adam Wakefield,I'm Sorry And I Love You,Ryan Adams,100,6INhiCoJ379wd7CylmMYTb
The Feeling,Justin Bieber Featuring Halsey,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,100,1WkMMavIMc4JZ8cfMmxHkI
Home,One Direction,Hometown,Twenty One Pilots,100,40sRwFjfrRnaTdYPJIg4CP
G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,G.D.F.R.,DaLa Florence,100,7qXlWvYDu8jMyRUjVCqmjr
Smoke,A Thousand Horses,Smoke Strong,YoungBoy Never Broke Again,100,5WCHZRFz566C9aYYlxtuDt
Velvet,Chris Jamison,Velveteen,Christa Wells,100,4XmaFHqfGseY9ri9QgfN5W
